id	Class	agey	hispn	white	black	asian	male	educ	trump	incomec	veg_diet	income	ecocatas	humabuse	ecocrisis	nep	famsec	honpar	selfdisc	trad	equal	socjust	peace	halt	resperth	protenv	unnat	balt	excit	curious	varied	open	infl	author	wealth	self	andig	pcruel	comp	animal	biovote	bioprice	biodon	biowts	climvote	climprice	climdon	climwts	anwbvote	anwbprice	anwbdon	anwbwts	SciThinking	BT.fam	sci_rel_-1	sci_rel_2	sci_rel_3	sci_rel_4	sci_rel_5	science	religiosity	politics	edu_cat	age_cat	edu_cat_STEM	race_cat	farm_c	farm_now	farm	ag_famil
1	a	57	0	1	0	0	0	5	1	37.5	1	2	4	5	2	3.666666746	5	5	3	4.333333492	4	3	3	3.333333254	5	5	5	5	3	3	3	3	3	3	1	2.333333254	5	5	5	5	3	1	1	1.666666627	3	1	1	1.666666627	4	3	3	3.333333254	1	1.4	3	3	3	2	2	3	2	4.333333333	2	3	2	1	0	1	1	0
2	b	49	1	1	0	0	1	2	0	37.5	1	2	4	2	3	3	3	3	4	3.333333254	4	3	2	3	3	4	4	3.666666746	3	3	2	2.666666746	3	3	2	2.666666746	2	3	3	2.666666746	2	2	4	2.666666746	2	3	3	2.666666746	3	3	3	3	0.5	2.6	2	2	3	2	4	2.5	3	1	1	2	1	2	0	0	0	2
3	c	50	0	1	0	0	0	2	0	37.5	1	2	5	5	5	5	5	5	4	4.666666508	5	5	5	5	5	5	5	5	4	5	4	4.333333492	4	4	2	3.333333254	5	5	5	5	5	4	4	4.333333492	5	4	4	4.333333492	5	4	4	4.333333492	1	2.2	3	3	3	3	3	3	3	1.666666667	1	2	1	1	0	0	0	1
4	e	55	0	1	0	0	1	5	0	87.5	1	4	4	5	5	4.666666508	4	3	5	4	5	4	5	4.666666508	4	4	4	4	3	4	3	3.333333254	3	2	1	2	4	3	4	3.666666746	4	4	3	3.666666746	5	4	4	4.333333492	4	4	3	3.666666746	0.75	3.8	4	1	1	2	4	1	3.333333333	2.333333333	2	3	2	1	0	0	0	2
5	e	43	0	1	0	0	0	2	1	12.5	1	1	5	5	1	3.666666746	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0.5	2.6	5	5	5	5	5	5	5	3.666666667	1	2	1	1	0	0	0	2
6	c	62	0	1	0	0	1	5	1	12.5	1	1	4	5	5	4.666666508	4	5	5	4.666666508	4	4	4	4	5	5	4	4.666666508	4	4	5	4.333333492	4	4	3	3.666666746	5	5	5	5	5	4	2	3.666666746	4	4	2	3.333333254	4	4	2	3.333333254	1	3.6	4	3	3	2	4	3	3.333333333	4	2	3	2	1	0	0	0	1
7	b	31	0	1	0	0	0	5	0	60.25	1	3	4	4	4	4	5	4	4	4.333333492	5	3	4	4	5	4	4	4.333333492	4	4	2	3.333333254	4	3	4	3.666666746	5	5	3	4.333333492	4	3	3	3.333333254	4	4	3	3.666666746	4	4	5	4.333333492	0.25	1	4	4	4	3	2	4	2.666666667	2	2	1	2	1	0	0	0	1
8	a	46	0	1	0	0	0	3	0	60.25	1	3	4	5	1	3.333333254	5	3	5	4.333333492	3	3	3	3	4	3	3	3.333333254	1	2	1	1.333333373	2	1	3	2	5	4	4	4.333333492	3	1	1	1.666666627	1	1	1	1	3	4	1	2.666666746	1	2.8	5	3	3	1	1	3	1	4.824194952	2	2	2	1	0	0	0	0
9	c	73	0	1	0	0	1	6	1	87.5	1	4	3	4	2	3	4	4	4	4	4	4	3	3.666666746	3	4	3	3.333333254	3	4	3	3.333333254	3	2	3	2.666666746	4	4	3	3.666666746	3	4	4	3.666666746	3	3	2	2.666666746	3	4	4	3.666666746	0.75	3	3	3	4	3	3	3.5	3	4	3	4	3	1	0	0	0	1
10	b	60	0	1	0	0	1	4	0	60.25	1	3	2	3	3	2.666666746	5	5	4	4.666666508	5	5	5	5	5	5	4	4.666666508	4	4	4	4	4	4	4	4	5	5	5	5	3	3	4	3.333333254	4	3	4	3.666666746	4	4	4	4	0.5	2.6	4	1	1	4	4	1	4	2.490861619	3	3	3	1	0	0	0	1
11	c	32	0	0	0	1	0	4	0	60.25	1	3	4	5	4	4.333333492	4	4	3	3.666666746	5	5	5	5	5	5	5	5	4	4	4	4	5	4	3	4	4	4	4	4	5	5	5	5	5	5	5	5	4	5	4	4.333333492	1	3.6	4	1	1	3	4	1	3.666666667	1	3	1	4	4	0	0	0	1
12	d	40	0	0	1	0	1	5	0	37.5	2	2	3	3	3	3	5	5	5	5	5	5	5	5	5	5	5	5	4	4	5	4.333333492	5	4	3	4	5	5	5	5	4	4	5	4.333333492	4	3	5	4	5	5	5	5	0.5	4	4	3	4	2	2	3.5	2	3.824194952	2	1	2	3	0	0	0	3
13	e	34	0	1	0	0	1	2	0	12.5	1	1	3	5	1	3	4	4	4	4	4	3	4	3.666666746	3	4	4	3.666666746	3	3	4	3.333333254	4	4	4	4	4	3	5	4	3	5	4	4	4	4	4	4	4	4	3	3.666666746	0.25	3.6	5	4	4	5	4	4	4.333333333	1.666666667	1	1	1	1	0	0	0	2
14	e	27	0	1	0	0	1	4	1	125	2	5	4	5	1	3.333333254	5	5	4	4.666666508	5	4	4	4.333333492	3	5	4	4	5	3	4	4	4	5	5	4.666666508	4	4	4	4	4	4	4	4	4	5	4	4.333333492	5	4	5	4.666666508	0.75	4.6	4	4	5	4	5	4.5	4	5.333333333	3	1	4	1	0	0	0	4
15	d	51	0	0	1	0	0	2	0	12.5	3	1	1	1	5	2.333333254	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	3	3	3	3	3	3	3	3	3	3	3	3	0.5	1	1	1	1	1	1	1	1	3	1	2	1	5	0	0	0	0
16	b	49	0	1	0	0	0	5	1	60.25	1	3	4	5	5	4.666666508	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	4.666666508	5	3	5	4.333333492	5	3	5	4.333333492	0.25	2.4	4	5	5	3	1	5	3	4.333333333	2	2	2	1	0	0	0	2
17	b	66	0	1	0	0	0	2	0	60.25	1	3	4	5	5	4.666666508	5	5	5	5	4	4	5	4.333333492	5	5	5	5	4	4	4	4	4	4	3	3.666666746	5	5	5	5	4	2	3	3	4	2	3	3	4	2	3	3	0.5	1	2	4	5	2	2	4.5	2.666666667	2	1	3	1	1	0	0	0	0
18	e	67	0	1	0	0	1	6	0	12.5	1	1	3	4	2	3	2	4	5	3.666666746	5	4	5	4.666666508	5	5	4	4.666666508	2	4	4	3.333333254	2	2	3	2.333333254	5	5	4	4.666666508	4	2	3	3	3	2	2	2.333333254	4	4	4	4	0.75	2.8	4	2	2	2	4	2	3.333333333	4.490861619	3	3	3	1	1	0	1	1
19	e	29	0	0	1	0	1	2	0	12.5	1	1	4	5	2	3.666666746	5	5	5	5	4	4	4	4	3	4	4	3.666666746	4	3	5	4	4	4	5	4.333333492	4	5	5	4.666666508	4	4	3	3.666666746	4	4	2	3.333333254	3	4	4	3.666666746	0.25	4	3	4	3	4	4	3.5	4	2.333333333	1	1	1	3	0	0	0	1
20	a	57	0	0	1	0	0	4	0	37.5	1	2	4	5	4	4.333333492	5	5	5	5	5	5	5	5	5	5	5	5	5	3	5	4.333333492	1	1	1	1	5	5	3	4.333333492	4	1	3	2.666666746	4	1	4	3	4	2	4	3.333333254	0.5	2	2	5	5	4	5	5	4.666666667	2.666666667	3	3	3	3	0	0	0	1
21	c	68	0	1	0	0	0	4	0	12.5	1	1	3	4	3	3.333333254	4	5	4	4.333333492	5	5	5	5	5	5	4	4.666666508	3	5	3	3.666666746	3	3	2	2.666666746	5	4	3	4	4	4	1	3	3	2	1	2	4	4	3	3.666666746	1	4	4	5	5	2	2	5	2	3.666666667	3	3	3	5	1	0	1	1
22	c	60	0	0	0	1	1	4	1	37.5	1	2	4	1	2	2.333333254	4	4	4	4	5	3	4	4	4	4	4	4	4	4	4	4	3	4	4	3.666666746	4	3	4	3.666666746	3	2	3	2.666666746	3	2	2	2.333333254	2	3	2	2.333333254	0.5	2	4	1	4	2	4	2.5	3	4	3	3	4	4	0	0	0	2
23	d	66	0	1	0	0	1	3	1	12.5	1	1	4	4	2	3.333333254	5	5	4	4.666666508	4	4	4	4	4	2	3	3	4	3	4	3.666666746	4	3	2	3	4	3	3	3.333333254	3	4	2	3	4	2	2	2.666666746	2	2	2	2	0.75	2.6	3	4	4	3	2	4	2.333333333	3.333333333	2	3	2	1	0	0	0	2
24	d	28	0	1	0	0	0	4	1	37.5	1	2	2	4	2	2.666666746	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	3	4	5	4	5	4	5	4.666666508	5	4	5	4.666666508	1	2	1	5	5	5	5	5	5	5.333333333	3	1	3	1	0	0	0	0
25	d	62	0	1	0	0	0	5	0	60.25	1	3	4	4	5	4.333333492	5	5	3	4.333333492	4	3	5	4	4	4	4	4	4	4	4	4	3	2	2	2.333333254	5	5	3	4.333333492	5	2	3	3.333333254	5	3	3	3.666666746	4	3	3	3.333333254	1	3.6	3	2	2	2	3	2	3	1.666666667	2	3	2	1	1	0	1	2
26	d	26	0	0	0	0	0	4	0	60.25	1	3	4	4	5	4.333333492	3	3	2	2.666666746	3	3	3	3	3	4	4	3.666666746	4	2	4	3.333333254	3	4	3	3.333333254	3	4	2	3	4	3	3	3.333333254	3	2	3	2.666666746	2	3	3	2.666666746	0.5	3.6	4	4	4	2	2	4	2	1.490861619	3	1	4	5	0	0	0	1
27	e	32	0	1	0	0	0	6	0	125	1	5	5	5	2	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0.5	5	5	5	5	5	5	5	5	3.333333333	3	1	3	1	0	0	0	4
28	c	58	0	1	0	0	1	2	1	60.25	1	3	4	4	4	4	5	5	5	5	5	5	5	5	5	5	4	4.666666508	3	3	3	3	2	1	1	1.333333373	5	5	5	5	4	3	3	3.333333254	5	5	3	4.333333492	4	3	3	3.333333254	0.5	1	4	2	3	3	3	2.5	3.333333333	3.666666667	1	3	1	1	0	0	0	0
29	c	61	0	1	0	0	1	4	0	12.5	2	1	5	5	5	5	5	5	3	4.333333492	5	5	5	5	5	5	5	5	4	4	3	3.666666746	5	1	1	2.333333254	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	1.2	4	1	1	3	5	1	4.333333333	1	3	3	3	1	0	0	0	1
30	c	22	0	1	0	0	0	5	0	60.25	1	3	4	4	2	3.333333254	4	4	4	4	4	3	3	3.333333254	4	3	5	4	4	4	3	3.666666746	4	4	4	4	3	4	5	4	5	4	4	4.333333492	4	4	3	3.666666746	3	4	4	3.666666746	1	3.2	4	2	2	2	2	2	2.666666667	2.666666667	2	1	2	1	1	0	1	3
31	d	46	1	1	0	0	0	5	1	60.25	1	3	4	5	4	4.333333492	5	5	3	4.333333492	4	5	5	4.666666508	3	5	3	3.666666746	3	3	3	3	3	3	5	3.666666746	5	4	5	4.666666508	3	3	3	3	4	3	5	4	4	4	3	3.666666746	0	2.8	3	1	5	2	3	3	3	3.333333333	2	2	2	2	0	0	0	2
32	c	69	0	1	0	0	1	4	1	87.5	1	4	4	3	3	3.333333254	5	5	4	4.666666508	5	4	5	4.666666508	3	3	4	3.333333254	4	3	4	3.666666746	4	4	3	3.666666746	3	3	3	3	3	1	3	2.333333254	5	1	3	3	3	1	2	2	0.5	1	4	3	4	4	4	3.5	4	4	3	3	3	1	0	0	0	0
33	a	60	0	1	0	0	0	5	0	87.5	1	4	4	4	4	4	5	3	3	3.666666746	5	4	5	4.666666508	4	5	4	4.333333492	3	3	4	3.333333254	4	3	2	3	4	5	4	4.333333492	4	3	3	3.333333254	4	4	4	4	5	4	4	4.333333492	0.5	3.4	4	2	4	2	2	3	2.666666667	2	2	3	2	1	0	1	1	3
34	e	38	0	1	0	0	0	3	1	60.25	1	3	4	4	4	4	5	4	4	4.333333492	4	4	4	4	4	4	3	3.666666746	3	4	4	3.666666746	3	3	2	2.666666746	4	5	4	4.333333492	4	4	3	3.666666746	4	4	3	3.666666746	4	4	4	4	0.5	2.4	3	2	4	3	3	3	3.333333333	4.333333333	2	1	2	1	0	0	0	1
35	d	78	0	0	1	0	0	2	0	37.5	1	2	1	1	5	2.333333254	5	5	5	5	5	3	5	4.333333492	4	3	4	3.666666746	5	1	2	2.666666746	1	1	3	1.666666627	3	3	1	2.333333254	3	3	4	3.333333254	5	4	5	4.666666508	3	3	3	3	0.5	2	3	5	5	3	3	5	3.333333333	3	1	4	1	3	0	0	0	0
