# 353.609789 sec
C,intercept_scaling,penalty,mean_test_score
10.0,1.0,l2,0.9204856676209353
10.0,0.5,l2,0.9204552503119725
10.0,0.1,l2,0.920311008955443
10.0,2.0,l2,0.920223794318432
10.0,5.0,l2,0.9202102143433899
10.0,10.0,l2,0.920196909638112
50.0,0.5,l2,0.9136324139323202
50.0,0.1,l2,0.9135923163033105
50.0,1.0,l2,0.9135323992512664
50.0,2.0,l2,0.9134922557439624
50.0,5.0,l2,0.9133439312192614
50.0,10.0,l2,0.9133396186596198
10.0,1.0,l1,0.9127055806356896
10.0,0.1,l1,0.912536473243779
10.0,5.0,l1,0.9121945881964324
10.0,10.0,l1,0.9121304503413346
10.0,2.0,l1,0.9121163198267637
10.0,0.5,l1,0.9119095463554284
1.0,10.0,l2,0.9043782114805845
1.0,2.0,l2,0.9043772480364091
1.0,5.0,l2,0.90433026866329
1.0,1.0,l2,0.9041451038684576
1.0,0.5,l2,0.9036947166556558
1.0,0.1,l2,0.9030810485942892
50.0,1.0,l1,0.8958640259120605
50.0,0.1,l1,0.8957159307788298
50.0,5.0,l1,0.8957017543859649
50.0,0.5,l1,0.8956457828672099
50.0,2.0,l1,0.8955927934375689
50.0,10.0,l1,0.8952114071790355
0.5,10.0,l2,0.8902650389047932
0.5,5.0,l2,0.8902036996256332
0.5,2.0,l2,0.8901992953094032
0.5,1.0,l2,0.8899789418630257
0.5,0.5,l2,0.8888718527490272
0.5,0.1,l2,0.8882066174851355
1.0,10.0,l1,0.8861384469279894
1.0,5.0,l1,0.8859895718637599
1.0,2.0,l1,0.8859407573588785
1.0,1.0,l1,0.8856469986420024
1.0,0.5,l1,0.8846043685311604
1.0,0.1,l1,0.8831908124128314
0.5,5.0,l1,0.8535326745210305
0.5,10.0,l1,0.8532350161491596
0.5,2.0,l1,0.8531154802539824
0.5,1.0,l1,0.8528408757248771
0.5,0.5,l1,0.8502511836599866
0.5,0.1,l1,0.848700703773031
0.1,10.0,l2,0.8400882239594804
0.1,5.0,l2,0.83979125376202
0.1,2.0,l2,0.8384144002789402
0.1,1.0,l2,0.8361227794905673
0.1,0.5,l2,0.8348013469867135
0.1,0.1,l2,0.8342286941202378
0.01,0.1,l2,0.7615912886295236
0.01,0.5,l2,0.7614728767525508
0.01,1.0,l2,0.7612715169199149
0.01,2.0,l2,0.7608684761065845
0.01,5.0,l2,0.7604742439257138
0.01,10.0,l2,0.7603080268663289
0.1,0.1,l1,0.7558276444248697
0.1,1.0,l1,0.7558058063568966
0.1,0.5,l1,0.7558014479189605
0.1,2.0,l1,0.7558014020406665
0.1,5.0,l1,0.755649682522205
0.1,10.0,l1,0.7555365695881965
0.001,0.1,l2,0.7355448506202745
0.001,0.5,l2,0.7354268057696542
0.001,1.0,l2,0.7351641984144461
0.001,2.0,l2,0.7340614677383837
0.001,5.0,l2,0.7314048851207515
0.001,10.0,l2,0.7301654830066798
0.001,1.0,l1,0.5
0.001,0.5,l1,0.5
0.001,5.0,l1,0.5
0.001,2.0,l1,0.5
0.01,5.0,l1,0.5
0.001,10.0,l1,0.5
0.01,0.1,l1,0.5
0.01,0.5,l1,0.5
0.01,1.0,l1,0.5
0.01,2.0,l1,0.5
0.01,10.0,l1,0.5
0.001,0.1,l1,0.5
